                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0482,                 1.6951,                  1.164,                0.99262,                      1,                0.99007,                0.80683,                0.85324,                 2.2423,                 1.0934,                0.00065,                0.00065,                0.00065
                      2,                0.52503,                0.81783,                0.88848,                0.99859,                      1,                  0.995,                0.89948,                0.43236,                 1.0324,                 1.0203,              0.0012515,              0.0012515,              0.0012515
                      3,                0.45046,                0.66552,                0.89105,                0.99878,                      1,                  0.995,                 0.8415,                0.78188,                0.99095,                  1.445,               0.001787,               0.001787,               0.001787
                      4,                0.46372,                0.60345,                0.88778,                0.99423,                      1,                  0.995,                0.95396,                0.53505,                0.67173,                 1.0929,               0.001703,               0.001703,               0.001703
                      5,                0.42332,                0.51555,                0.87142,                0.99474,                      1,                 0.9948,                0.98419,                0.35539,                0.42031,                0.97223,               0.001604,               0.001604,               0.001604
                      6,                0.38688,                 0.4457,                0.86174,                0.99492,                      1,                  0.995,                0.99343,                0.21527,                0.25509,                0.96375,               0.001505,               0.001505,               0.001505
                      7,                0.35522,                0.40422,                0.85983,                0.99475,                      1,                0.99445,                0.98309,                0.23272,                0.27564,                0.97832,               0.001406,               0.001406,               0.001406
                      8,                0.32738,                0.37149,                0.84933,                0.99469,                      1,                  0.995,                0.99365,                0.23677,                0.31364,                 1.0065,               0.001307,               0.001307,               0.001307
                      9,                0.31871,                0.35122,                0.84568,                0.99482,                      1,                  0.995,                0.97724,                0.27165,                0.23306,                0.95928,               0.001208,               0.001208,               0.001208
                     10,                0.28356,                0.31338,                0.84583,                0.99501,                      1,                  0.995,                0.99495,                0.17695,                0.16431,                0.95584,               0.001109,               0.001109,               0.001109
                     11,                0.24254,                0.30361,                0.79375,                0.99474,                      1,                  0.995,                  0.995,                0.15773,                0.19075,                 0.9526,                0.00101,                0.00101,                0.00101
                     12,                 0.2202,                0.26794,                0.79558,                0.99483,                      1,                  0.995,                0.98627,                0.27611,                0.22461,                0.95987,               0.000911,               0.000911,               0.000911
                     13,                0.20948,                0.24132,                0.79063,                0.99475,                      1,                  0.995,                 0.9948,                0.17403,                0.15549,                0.95706,               0.000812,               0.000812,               0.000812
                     14,                0.21109,                0.22124,                0.78957,                0.99478,                      1,                  0.995,                0.94656,                0.27043,                0.18401,                0.95566,               0.000713,               0.000713,               0.000713
                     15,                0.19772,                0.20568,                0.79115,                0.99481,                      1,                  0.995,                  0.995,                0.17393,                0.14304,                0.95816,               0.000614,               0.000614,               0.000614
                     16,                0.18307,                0.18975,                0.79032,                0.99476,                      1,                0.99042,                0.99042,                0.11367,                0.11277,                0.94832,               0.000515,               0.000515,               0.000515
                     17,                0.15445,                0.16965,                0.78715,                0.99476,                      1,                0.99057,                0.99057,                 0.0998,                0.09802,                0.94993,               0.000416,               0.000416,               0.000416
                     18,                0.13918,                0.16156,                0.78958,                0.99476,                      1,                0.99005,                0.99005,                0.09258,                0.08884,                0.94676,               0.000317,               0.000317,               0.000317
                     19,                0.12227,                0.14476,                0.78346,                0.99477,                      1,                0.99396,                0.99396,                0.10732,                0.09922,                0.94612,               0.000218,               0.000218,               0.000218
                     20,                0.11426,                0.13805,                0.77518,                0.99477,                      1,                0.99017,                0.99017,                0.07221,                0.07374,                0.94512,               0.000119,               0.000119,               0.000119
