                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9438,                 3.8166,                 2.5283,                0.00167,                    0.5,                0.01607,                 0.0018,                 3.4975,                  4.897,                 3.2728,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.6093,                 3.5381,                 2.3007,                0.00167,                    0.5,                0.00966,                0.00228,                 3.0867,                  4.716,                 2.8068,              9.967e-05,              9.967e-05,              9.967e-05
                      3,                 2.5281,                 3.8065,                 2.1337,                0.00267,                    0.8,                0.03961,                0.01235,                   2.61,                 4.0478,                 2.5341,             0.00015894,             0.00015894,             0.00015894
                      4,                 2.1192,                 3.1594,                 1.7972,                  0.003,                    0.9,                0.25438,                0.14422,                 2.1824,                 4.0379,                 2.1311,             0.00021782,             0.00021782,             0.00021782
                      5,                  2.085,                 3.0082,                 1.8534,                0.00233,                    0.7,                0.48804,                0.18951,                 1.9062,                 3.7341,                 1.8825,              0.0002763,              0.0002763,              0.0002763
                      6,                  1.857,                 2.4472,                 1.7196,                0.00267,                    0.8,                  0.241,                0.14369,                 2.2299,                 3.6762,                 1.9226,             0.00033439,             0.00033439,             0.00033439
                      7,                 1.8211,                 2.6552,                 1.7332,                0.00267,                    0.8,                0.16815,                0.05297,                 2.5886,                 3.9914,                 2.2536,             0.00039208,             0.00039208,             0.00039208
                      8,                 1.9399,                 2.6969,                  1.695,                0.00233,                    0.7,                0.21102,                0.09301,                 2.7182,                  4.041,                 2.2699,             0.00044937,             0.00044937,             0.00044937
                      9,                  1.849,                 2.4194,                 1.6487,                  0.002,                    0.6,                0.22449,                0.12242,                 2.6668,                 3.8941,                 2.4564,             0.00050627,             0.00050627,             0.00050627
                     10,                 1.6954,                 2.2722,                  1.548,                0.00233,                    0.7,                0.27897,                0.15866,                 2.6535,                 3.8895,                 2.4679,             0.00056277,             0.00056277,             0.00056277
                     11,                 1.7812,                 2.3289,                 1.6029,                0.00264,                    0.5,                0.10404,                0.08023,                 2.6705,                 4.1923,                 2.2738,             0.00061888,             0.00061888,             0.00061888
